140	460
110	460
109	1108
112	459
109	458
110	464
110	458
111	458
109	630
111	461
109	458
110	462
111	458
109	461
110	498
110	458
108	462
110	458
166	474
111	2742
114	530
111	457
110	468
110	468
110	457
110	472
109	458
124	482
110	486
107	457
106	534
106	461
106	458
190	498
180	666
108	504
153	458
109	517
110	458
110	479
108	505
110	467
113	500
112	474
107	480
112	642
111	499
112	458
107	462
103	458
150	458
108	458
109	458
109	492
111	458
109	458
104	463
105	458
105	461
107	458
109	458
105	1280
184	458
112	472
115	503
114	468
112	471
114	458
111	458
109	533
109	458
108	460
108	461
107	458
107	463
107	458
108	462
108	459
108	458
108	459
109	458
108	463
107	461
108	458
107	459
109	458
110	463
109	458
111	458
108	497
109	457
108	461
108	458
136	572
107	462
105	458
104	459
105	458
109	458
104	460
105	475
108	460
106	458
109	491
112	470
109	457
107	459
107	458
107	459
107	460
109	482
109	563
109	464
113	458
109	465
109	458
107	459
108	458
108	459
108	458
320	463
113	468
113	468
157	472
113	460
110	458
111	689
114	465
105	457
104	458
104	458
104	458
104	461
104	460
104	459
105	458
104	461
104	460
103	458
105	461
104	458
110	482
112	458
204	472
110	462
107	457
107	459
107	460
123	458
108	461
108	457
109	467
105	457
109	457
108	469
109	458
108	465
105	458
105	459
104	457
107	487
109	478
108	507
104	865
111	464
104	468
105	462
106	480
112	458
109	460
108	458
110	458
107	477
109	457
107	458
108	458
111	458
108	474
148	462
113	587
113	469
112	646
133	485
117	493
107	458
108	459
107	458
107	472
109	462
104	457
104	614
105	460
500	459
114	458
107	679
113	458
110	457
108	459
108	496
109	458
108	457
108	459
107	460
108	458
108	462
107	458
104	461
105	460
268	459
106	483
106	458
104	458
105	459
104	458
104	461
109	458
106	459
104	458
126	457
109	463
107	587
104	554
108	463
109	599
108	578
107	460
104	457
104	459
104	460
104	459
104	458
123	458
108	467
109	458
108	460
107	458
119	457
108	472
110	457
108	752
109	491
106	540
105	462
104	600
109	462
107	458
108	458
108	492
112	467
110	467
